"","Feature","Gain","Cover","Frequency","Importance","norm_importance"
"65","VAR-1.E.10",0.00393531577475621,0.00669835184025276,0.00368324125230203,0.00393531577475621,1.06843823284631
"66","CON-1.A.6",0.00390631780458579,0.00385052302698313,0.00368324125230203,0.00390631780458579,1.06056528394504
"67","VAR-1.D.2",0.0038446163670204,0.00677075625268932,0.00368324125230203,0.0038446163670204,1.04381334364604
"68","CON-2.I.1.A",0.003834602776822,0.00322357540348254,0.00184162062615101,0.003834602776822,2.08218930781434
"69","VAR-1.E.12.B",0.00369647986431318,0.00643556237951306,0.00552486187845304,0.00369647986431318,0.669062855440686
"70","MOD-3.C.2",0.00366749385141981,0.0130887059348683,0.00736648250460405,0.00366749385141981,0.497862290330239
"71","VAR-1.F.2.A",0.00351115622998272,0.00995174896568153,0.00552486187845304,0.00351115622998272,0.635519277626872
"72","CON-1.D.1",0.00349543555731477,0.00442226210483669,0.00552486187845304,0.00349543555731477,0.632673835873974
"73","CON-2.G.2",0.00344766434751179,0.0127368949851226,0.00736648250460405,0.00344766434751179,0.468020435174726
"74","CON-1.G.3",0.00334546707389754,0.00670093629286722,0.00736648250460405,0.00334546707389754,0.454147155281591
"75","VAR-2.A.2",0.00313113634410626,0.00325063361251197,0.00552486187845304,0.00313113634410626,0.566735678283233
"76","CON-2.O.2",0.0029390209764118,0.00347318032222142,0.00184162062615101,0.0029390209764118,1.59588839019161
"77","CON-1.C.1",0.00291536633575648,0.00325291137176263,0.00920810313075507,0.00291536633575648,0.316608784063153
"78","MOD-1.D.4",0.00272714620839342,0.00622573362647352,0.00368324125230203,0.00272714620839342,0.740420195578812
"79","MOD-1.C.1",0.00255294646036841,0.0000997335276063507,0.00184162062615101,0.00255294646036841,1.38624992798005
"80","CON-2.A.1",0.0025520152087519,0.00012957959713694,0.00184162062615101,0.0025520152087519,1.38574425835228
"81","CON-1.B.2",0.00226458634037394,0.00636720669349495,0.00368324125230203,0.00226458634037394,0.614835191411525
"82","MOD-2.A.1",0.00215910978352892,0.00330451533534426,0.00368324125230203,0.00215910978352892,0.586198306228102
"83","MOD-1.E.6",0.00215230530622492,0.00343820301937685,0.00184162062615101,0.00215230530622492,1.16870178128013
"84","CON-1.D.4",0.0021243537551289,0.00634929224789419,0.00552486187845304,0.0021243537551289,0.38450802967833
"85","VAR-2.E.1",0.00210847716586153,0.00351630977778639,0.00920810313075507,0.00210847716586153,0.228980620212562
"86","CON-1.C.3",0.00210618876329993,0.0066155128406414,0.00368324125230203,0.00210618876329993,0.571830249235931
"87","VAR-2.A.6",0.00194404493985986,0.00353703004689759,0.00368324125230203,0.00194404493985986,0.527808201171951
"88","VAR-2.A.4.B",0.00189319913652929,0.00660126983251918,0.00368324125230203,0.00189319913652929,0.514003565567701
"89","CON-2.E.3",0.00185664841524372,0.0127509654782277,0.00736648250460405,0.00185664841524372,0.252040022369335
"90","CON-2.A.5",0.00184826132938921,0.0059223086975914,0.00552486187845304,0.00184826132938921,0.334535300619446
"91","CON-2.I.2.J",0.00166972659643606,0.00655115538884162,0.00552486187845304,0.00166972659643606,0.302220513954927
"92","MOD-3.B.3",0.00159727100415818,0.00318029306875603,0.00368324125230203,0.00159727100415818,0.433659077628946
"93","CON-2.O.3",0.00147267350265062,0.00625977191465163,0.00368324125230203,0.00147267350265062,0.399830855969644
"94","CON-1.E.2",0.00145394258548552,0.00650398538846469,0.00368324125230203,0.00145394258548552,0.394745411959319
"95","CON-1.A.8",0.00140313501397499,0.0033594796015971,0.00184162062615101,0.00140313501397499,0.761902312588418
